119	 	F(6)A2[6]G(4)1 (Id:634); 6.66 ± .06; 6.60-6.72
120	 	A3G(4)1 (Id:963); 6.70; 6.7-6.7
121	 	A1G1Ga1 (Id:677); 6.71; 6.71-6.71
122	 	F(3)F(6)A2 (Id:817); 6.72; 6.72-6.72
123	 	F(6)A3B (Id:945); 6.73 ± .06; 6.67-6.79
124	 	A4B (Id:635); 6.75 ± .04; 6.71-6.79
125	 	F(6)A2G(4)1 (Id:815); 6.76 ± .23; 6.53-6.99
126	 	A3G1 (Id:806); 6.76; 6.76-6.76
128	 	F(6)A4 (Id:639); 6.78 ± .06; 6.72-6.84
129	 	F(6)A2[6]BG(4)1 (Id:637); 6.80 ± .06; 6.74-6.86
130	 	F(6)A2[3]G(4)1 (Id:630); 6.80 ± .08; 6.72-6.88
131	 	A1[6]G(4)1S(6)1 (Id:654); 6.80; 6.8-6.8
132	 	A1[6]G(4)1S(3)1 (Id:653); 6.80; 6.8-6.8
133	 	F(6)A2[3]G1 (Id:820); 6.81 ± .05; 6.76-6.86
135	 	F(3)XA2 (Id:664); 6.85; 6.85-6.85
136	 	F(3)XA1F(4)1 (Id:665); 6.85; 6.85-6.85
137	 	A1[3]G(4)1S(6)1 (Id:651); 6.86 ± .16; 6.7-7.02
138	 	F(6)A2G1 (Id:846); 6.87; 6.87-6.87
139	 	F(6)A2BG1 (Id:770); 6.88; 6.88-6.88
140	 	F(6)A2BG(4)1 (Id:766); 6.90 ± .06; 6.84-6.96
141	 	F(6)A2[3]BG(4)1 (Id:631); 6.90 ± .07; 6.83-6.97
142	 	F(6)A2[3]BG1 (Id:809); 6.92 ± .03; 6.89-6.95
143	 	F(6)A2GalNAc2 (Id:952); 6.92; 6.92-6.92
144	 	A1F(3)1G(4)1 (Id:851); 6.93; 6.93-6.93
145	 	M6 (Id:27384); 6.96; 6.96-6.96
146	 	A1[3]G(4)1S(3)1 (Id:650); 6.96; 6.96-6.96
147	 	M6 D2 (Id:695); 6.96; 6.96-6.96
148	 	A2G1S(6)1 (Id:784); 6.97; 6.97-6.97
149	 	A2[6]G(4)1S(6)1 (Id:950); 6.98 ± .19; 6.73-7.17
150	 	F(6)A1[3]G(4)1S(6)1 (Id:652); 7.02 ± .01; 7.01-7.03
151	 	F(6)A4B (Id:640); 7.05 ± .02; 7.03-7.08
152	 	M6 D1 (Id:687); 7.06 ± .05; 7.01-7.11
153	 	A2G1S1 (Id:890); 7.07 ± .17; 6.9-7.24
154	 	M6 D3 (Id:288); 7.07; 7.07-7.07
155	 	A2[6]G(4)1S(3)1 (Id:659); 7.07; 7.07-7.07
157	 	F(6)A1G1Ga1 (Id:947); 7.08; 7.08-7.08
160	 	F(3)F(6)A1G1 (Id:917); 7.12; 7.12-7.12
161	 	A2G2 (Id:927); 7.12 ± .04; 7.08-7.16
162	 	A2F(3)1G(4)1 (Id:721); 7.14 ± .09; 7.05-7.23
163	 	A2G(4)2 (Id:235); 7.15 ± .04; 7.11-7.19
164	 	A2G1S(3)1 (Id:768); 7.18; 7.18-7.18
165	 	F(6)A2G(4)1GalNAc1 (Id:27227); 7.18; 7.18-7.18
166	 	F(6)A2G(4)1F(2)1 (Id:716); 7.18; 7.18-7.18
167	 	A2[3]G(4)1S(3)1 (Id:656); 7.20; 7.2-7.2
168	 	F(6)M4A1[3]G(4)1 (Id:883); 7.20; 7.2-7.2
169	 	A2G(4)1S(6)1 (Id:896); 7.20; 7.2-7.2
170	 	A2[3]G(4)1S(6)1 (Id:827); 7.24 ± .36; 6.88-7.6
171	 	F(6)A1G1S1 (Id:797); 7.25; 7.25-7.25
172	 	A2BG(4)2 (Id:729); 7.28 ± .06; 7.22-7.34
173	 	XA2G(3)2 (Id:666); 7.30; 7.3-7.3
174	 	A4G(4)1 (Id:834); 7.30; 7.3-7.3
175	 	A2BG2 (Id:624); 7.30 ± .02; 7.28-7.32
176	 	F(6)A1[3]G(4)1S(6)1 + GlcNAc1 (Id:27228); 7.32 ± .02; 7.30-7.34
177	 	F(6)A1G1S(3)1 (Id:691); 7.36; 7.36-7.36
178	 	A2F(3)1G(4)1S(6)1 (Id:856); 7.36; 7.36-7.36
179	 	A2G(4)1S1 (Id:852); 7.37; 7.37-7.37
181	 	A2BG(4)1S1 (Id:779); 7.44 ± .03; 7.41-7.46
182	 	F(6)A2[6]BF(3)1G(4)1 (Id:805); 7.46; 7.46-7.46
183	 	A2G(4)1S(3)1 (Id:858); 7.50 ± .01; 7.49-7.51
184	 	F(6)A2G(4)1S1 (Id:877); 7.50 ± .05; 7.45-7.55
185	 	F(6)A2[3]BF(3)1G(4)1 (Id:899); 7.50; 7.5-7.5
186	 	F(6)A2F(3)1G(4)1 (Id:812); 7.50; 7.5-7.5
187	 	F(6)A2G1Ga1 (Id:757); 7.50; 7.5-7.5
